,Correlation
Fed Words,0.4332238775203459
w2v Words,0.8711929786052742
w2v Words Revised v3,0.663743402943543
Vader Sentiment Score,0.8081996580115166
Vader Score x Fed Words,0.4788313776577809
Vader Direction x Fed Words,-0.07560411429188825
TextBlob Score x Fed Words,-0.07339851387134373
TextBlob Direction x Fed Words,-0.09183960504385381
Afinn Score x Fed Words,-0.11894673448287753
Afinn Direction x Fed Words,-0.1057713466992225
Vader Score x w2v Words,0.7485644333698236
Vader Direction x w2v Words,0.031653042061710795
Textblob Score x w2v Words,-0.05467201275285965
Textblob Direction x w2v Words,0.04407287568583046
Afinn Score x w2v Words,-0.08061232891608737
Afinn Direction x w2v Words,0.04129169651523836
Vader Score x w2v Words Revised v3,0.6072998952019132
Vader Direction x w2v Words Revised v3,-0.05708437357895268
TextBlob Score x w2v Words Revised v3,-0.06054756105572131
TextBlob Direction x w2v Words Revised v3,-0.037852892022812605
Afinn Score x w2v Words Revised v3,-0.10343073499175415
Afinn Direction x w2v Words Revised v3,-0.019917231419358056
