,Correlation
Fed Words,0.35130438714097956
w2v Words,0.9411270493393386
w2v Words Revised v3,0.8260097210461103
Vader Sentiment Score,0.9140340445648332
Vader Score x Fed Words,0.6998364098373114
Vader Direction x Fed Words,-0.08929420462146531
TextBlob Score x Fed Words,-0.13875190849659885
TextBlob Direction x Fed Words,0.021604531897484628
Afinn Score x Fed Words,-0.22494987298038255
Afinn Direction x Fed Words,-0.26055686186218746
Vader Score x w2v Words,0.9014467748962556
Vader Direction x w2v Words,0.22840293708535633
Textblob Score x w2v Words,0.14169126064891158
Textblob Direction x w2v Words,0.500687245729694
Afinn Score x w2v Words,-0.10828024206104668
Afinn Direction x w2v Words,0.40845644121414015
Vader Score x w2v Words Revised v3,0.837299900416119
Vader Direction x w2v Words Revised v3,0.1636672657074972
TextBlob Score x w2v Words Revised v3,0.024052288402299823
TextBlob Direction x w2v Words Revised v3,0.3835044292272912
Afinn Score x w2v Words Revised v3,-0.15258678899660488
Afinn Direction x w2v Words Revised v3,0.24496005408398383
