,Correlation
Fed Words,-0.0785261795552942
w2v Words,0.49786427158785346
w2v Words Revised v3,0.22142357844770374
Vader Sentiment Score,0.2703668791894352
Vader Score x Fed Words,-0.03502688624547935
Vader Direction x Fed Words,-0.49237205344927576
TextBlob Score x Fed Words,-0.1372478250802088
TextBlob Direction x Fed Words,-0.33739774588149696
Afinn Score x Fed Words,-0.21025005257367427
Afinn Direction x Fed Words,-0.5361099691317778
Vader Score x w2v Words,0.22069776558895882
Vader Direction x w2v Words,-0.5654795391412785
Textblob Score x w2v Words,-0.24760137307664545
Textblob Direction x w2v Words,-0.4023572613017538
Afinn Score x w2v Words,-0.21992813097261085
Afinn Direction x w2v Words,-0.5850672498148212
Vader Score x w2v Words Revised v3,0.09553159050933567
Vader Direction x w2v Words Revised v3,-0.5323770297568317
TextBlob Score x w2v Words Revised v3,-0.2013804622006056
TextBlob Direction x w2v Words Revised v3,-0.37940548995204304
Afinn Score x w2v Words Revised v3,-0.21219383404973519
Afinn Direction x w2v Words Revised v3,-0.5575069509955389
