,Correlation
Fed Words,0.36287785965897873
w2v Words,0.8198785976104053
w2v Words Revised v3,0.6176535539797822
Vader Sentiment Score,0.6478292146283237
Vader Score x Fed Words,0.303276333662612
Vader Direction x Fed Words,-0.2554410741687163
TextBlob Score x Fed Words,-0.11431148751903489
TextBlob Direction x Fed Words,-0.1855206373653125
Afinn Score x Fed Words,-0.12425808161016721
Afinn Direction x Fed Words,-0.1813827033994677
Vader Score x w2v Words,0.5648449804402536
Vader Direction x w2v Words,-0.24524178238428987
Textblob Score x w2v Words,-0.11204204152610459
Textblob Direction x w2v Words,-0.08515836793720771
Afinn Score x w2v Words,-0.07006840438731825
Afinn Direction x w2v Words,-0.11869553340810411
Vader Score x w2v Words Revised v3,0.44527755670795066
Vader Direction x w2v Words Revised v3,-0.24961828497261707
TextBlob Score x w2v Words Revised v3,-0.11716502999371535
TextBlob Direction x w2v Words Revised v3,-0.12183543682939993
Afinn Score x w2v Words Revised v3,-0.06843393048986342
Afinn Direction x w2v Words Revised v3,-0.11501779979797454
