,Correlation
Fed Words,0.326397771445241
w2v Words,0.7470127973246864
w2v Words Revised v3,0.5245814011769047
Vader Sentiment Score,0.48501840072428476
Vader Score x Fed Words,0.18288866873169063
Vader Direction x Fed Words,-0.20957499839449462
TextBlob Score x Fed Words,-0.08259240623909544
TextBlob Direction x Fed Words,-0.2292282282732987
Afinn Score x Fed Words,-0.13097162210153623
Afinn Direction x Fed Words,-0.2545979692885119
Vader Score x w2v Words,0.38158263686936483
Vader Direction x w2v Words,-0.2621034323614942
Textblob Score x w2v Words,-0.15849066419826296
Textblob Direction x w2v Words,-0.2745701847966844
Afinn Score x w2v Words,-0.15423095292174382
Afinn Direction x w2v Words,-0.3311659989312095
Vader Score x w2v Words Revised v3,0.25193744694167686
Vader Direction x w2v Words Revised v3,-0.22111644665763786
TextBlob Score x w2v Words Revised v3,-0.12480999325860366
TextBlob Direction x w2v Words Revised v3,-0.24412896546181917
Afinn Score x w2v Words Revised v3,-0.13554357101832762
Afinn Direction x w2v Words Revised v3,-0.2824084238925062
