,Correlation
Fed Words,0.48477717230420286
w2v Words,0.867791013020872
w2v Words Revised v3,0.695153386991936
Vader Sentiment Score,0.7436490691669332
Vader Score x Fed Words,0.4194185864929362
Vader Direction x Fed Words,-0.09539627495399422
TextBlob Score x Fed Words,-0.011053246883903857
TextBlob Direction x Fed Words,0.014723986092355918
Afinn Score x Fed Words,-0.07910942709934463
Afinn Direction x Fed Words,-0.10401816270850942
Vader Score x w2v Words,0.6746673812565025
Vader Direction x w2v Words,0.007383615723789444
Textblob Score x w2v Words,0.06589284086901886
Textblob Direction x w2v Words,0.09013656327781312
Afinn Score x w2v Words,-0.02663019155566144
Afinn Direction x w2v Words,0.046435768824686405
Vader Score x w2v Words Revised v3,0.5251235097138225
Vader Direction x w2v Words Revised v3,-0.04765677020622906
TextBlob Score x w2v Words Revised v3,0.04323805369653031
TextBlob Direction x w2v Words Revised v3,0.050788062656865154
Afinn Score x w2v Words Revised v3,-0.05409407797812101
Afinn Direction x w2v Words Revised v3,0.009090922650974583
