,Correlation
Fed Words,0.37762070734721703
w2v Words,0.8856652685445319
w2v Words Revised v3,0.6850431223445229
Vader Sentiment Score,0.8252066128621087
Vader Score x Fed Words,0.5374271582695229
Vader Direction x Fed Words,-0.22523072297813423
TextBlob Score x Fed Words,0.05977144676190955
TextBlob Direction x Fed Words,0.013258885911074714
Afinn Score x Fed Words,-0.12872438583958257
Afinn Direction x Fed Words,-0.08410062570006033
Vader Score x w2v Words,0.7570107655388667
Vader Direction x w2v Words,-0.23898427043016307
Textblob Score x w2v Words,0.15262071193793203
Textblob Direction x w2v Words,0.2076116204753108
Afinn Score x w2v Words,-0.068952981910248
Afinn Direction x w2v Words,0.16132911555481694
Vader Score x w2v Words Revised v3,0.6390447609058313
Vader Direction x w2v Words Revised v3,-0.2859811644715741
TextBlob Score x w2v Words Revised v3,0.14849086616189885
TextBlob Direction x w2v Words Revised v3,0.11880596722219296
Afinn Score x w2v Words Revised v3,-0.12296618933804618
Afinn Direction x w2v Words Revised v3,0.05840548892877873
