,Correlation
Fed Words,-0.0024520768204752347
w2v Words,0.4805976046219445
w2v Words Revised v3,0.13469563196528644
Vader Sentiment Score,0.3253218624496886
Vader Score x Fed Words,-0.01554467414013239
Vader Direction x Fed Words,-0.2313956872823351
TextBlob Score x Fed Words,-0.024027330209399775
TextBlob Direction x Fed Words,-0.19775086099311362
Afinn Score x Fed Words,-0.19657864164533337
Afinn Direction x Fed Words,-0.27729572114668943
Vader Score x w2v Words,0.21688455719125355
Vader Direction x w2v Words,-0.43400257490443966
Textblob Score x w2v Words,-0.09960061076217389
Textblob Direction x w2v Words,-0.316863242268255
Afinn Score x w2v Words,-0.246651868692044
Afinn Direction x w2v Words,-0.4841003951174506
Vader Score x w2v Words Revised v3,0.08747585888241324
Vader Direction x w2v Words Revised v3,-0.35006708828381206
TextBlob Score x w2v Words Revised v3,-0.08553454029216445
TextBlob Direction x w2v Words Revised v3,-0.27938053027192783
Afinn Score x w2v Words Revised v3,-0.21622227739976246
Afinn Direction x w2v Words Revised v3,-0.39741817756562986
