,Correlation
Fed Words,0.35429385292223686
w2v Words,0.8677222683062057
w2v Words Revised v3,0.6638765967073752
Vader Sentiment Score,0.8387390872526981
Vader Score x Fed Words,0.695727363959949
Vader Direction x Fed Words,-0.34788272579930607
TextBlob Score x Fed Words,-0.04594633799131343
TextBlob Direction x Fed Words,-0.019713140133195667
Afinn Score x Fed Words,-0.2773474320838064
Afinn Direction x Fed Words,-0.25822145855669515
Vader Score x w2v Words,0.8211128518055721
Vader Direction x w2v Words,-0.29203601247139743
Textblob Score x w2v Words,0.02043363435627596
Textblob Direction x w2v Words,0.14865671977480807
Afinn Score x w2v Words,-0.12267191536502141
Afinn Direction x w2v Words,0.09297970494235482
Vader Score x w2v Words Revised v3,0.742119102996987
Vader Direction x w2v Words Revised v3,-0.3457939981400321
TextBlob Score x w2v Words Revised v3,-0.0081647015267209
TextBlob Direction x w2v Words Revised v3,0.035879445878108
Afinn Score x w2v Words Revised v3,-0.17146237285056343
Afinn Direction x w2v Words Revised v3,-0.03680911812255905
