,Correlation
Fed Words,0.05712143656024043
w2v Words,0.6409202994816321
w2v Words Revised v3,0.39095026832431506
Vader Sentiment Score,0.34381619860381674
Vader Score x Fed Words,0.07483554474522688
Vader Direction x Fed Words,-0.40444149300376264
TextBlob Score x Fed Words,-0.19595398073344977
TextBlob Direction x Fed Words,-0.2859692020709092
Afinn Score x Fed Words,-0.20717022178271094
Afinn Direction x Fed Words,-0.4205716626051039
Vader Score x w2v Words,0.3625810768325865
Vader Direction x w2v Words,-0.4927377072887971
Textblob Score x w2v Words,-0.25965313762635406
Textblob Direction x w2v Words,-0.30834404410278615
Afinn Score x w2v Words,-0.24405264728967843
Afinn Direction x w2v Words,-0.4936151506643196
Vader Score x w2v Words Revised v3,0.24926370385648403
Vader Direction x w2v Words Revised v3,-0.44565513316728855
TextBlob Score x w2v Words Revised v3,-0.2108898434275444
TextBlob Direction x w2v Words Revised v3,-0.23817924314853747
Afinn Score x w2v Words Revised v3,-0.22550597588188626
Afinn Direction x w2v Words Revised v3,-0.4324601851699153
