,Correlation
Fed Words,-0.0014907458571402498
w2v Words,0.5050807922871984
w2v Words Revised v3,0.17703877592920625
Vader Sentiment Score,0.11815167312597039
Vader Score x Fed Words,-0.028990298697805734
Vader Direction x Fed Words,-0.32738814227982077
TextBlob Score x Fed Words,-0.01617542540676672
TextBlob Direction x Fed Words,-0.26400556139028747
Afinn Score x Fed Words,-0.16346878539169044
Afinn Direction x Fed Words,-0.35467027456142514
Vader Score x w2v Words,0.18759868389399162
Vader Direction x w2v Words,-0.4981243118795705
Textblob Score x w2v Words,-0.15633940198767227
Textblob Direction x w2v Words,-0.4328513823179685
Afinn Score x w2v Words,-0.20714270203844687
Afinn Direction x w2v Words,-0.520794798708683
Vader Score x w2v Words Revised v3,0.04071458468553408
Vader Direction x w2v Words Revised v3,-0.42071486239100525
TextBlob Score x w2v Words Revised v3,-0.12641481072599858
TextBlob Direction x w2v Words Revised v3,-0.3786974322512802
Afinn Score x w2v Words Revised v3,-0.17387160936467444
Afinn Direction x w2v Words Revised v3,-0.46222804601879924
