,Correlation
Fed Words,0.25852120001474216
w2v Words,0.6891221552348448
w2v Words Revised v3,0.5176630296707512
Vader Sentiment Score,0.41617210244498154
Vader Score x Fed Words,0.266411859002325
Vader Direction x Fed Words,-0.2584994014054676
TextBlob Score x Fed Words,-0.10882607317524895
TextBlob Direction x Fed Words,-0.1386699032055246
Afinn Score x Fed Words,-0.14034101865520132
Afinn Direction x Fed Words,-0.2970701398495389
Vader Score x w2v Words,0.5176058406616593
Vader Direction x w2v Words,-0.3234988542101607
Textblob Score x w2v Words,-0.14006947165429998
Textblob Direction x w2v Words,-0.1891049940077318
Afinn Score x w2v Words,-0.14684601074403267
Afinn Direction x w2v Words,-0.36957526182563527
Vader Score x w2v Words Revised v3,0.3848378815668261
Vader Direction x w2v Words Revised v3,-0.28268493411018675
TextBlob Score x w2v Words Revised v3,-0.12079523828540194
TextBlob Direction x w2v Words Revised v3,-0.17320932648362206
Afinn Score x w2v Words Revised v3,-0.1419613498196236
Afinn Direction x w2v Words Revised v3,-0.3238788431347801
